Publication Years	Record Count	% of 55,384
2022	8747	15.793
2021	8410	15.185
2020	6840	12.350
2019	5851	10.564
2018	4720	8.522
2017	3654	6.598
2016	3000	5.417
2015	2497	4.509
2014	1970	3.557
2013	1589	2.869
2012	1363	2.461
2023	1362	2.459
2011	1095	1.977
2010	903	1.630
2009	728	1.314
2008	651	1.175
2007	451	0.814
2006	362	0.654
2005	285	0.515
2004	228	0.412
2003	147	0.265
2002	112	0.202
2001	92	0.166
2000	78	0.141
1999	45	0.081
1998	41	0.074
1997	35	0.063
1995	26	0.047
1994	24	0.043
1996	24	0.043
1993	20	0.036
1991	13	0.023
1992	12	0.022
1980	2	0.004
1984	2	0.004
1990	2	0.004
1983	1	0.002
1985	1	0.002
1989	1	0.002
