Publication Years	Record Count	% of 39,104
2022	6961	17.801
2021	6562	16.781
2020	5282	13.508
2019	4367	11.168
2018	3370	8.618
2017	2632	6.731
2016	2075	5.306
2015	1682	4.301
2014	1214	3.105
2023	1097	2.805
2013	921	2.355
2012	778	1.990
2011	546	1.396
2010	426	1.089
2009	300	0.767
2008	280	0.716
2007	184	0.471
2006	128	0.327
2005	96	0.245
2004	73	0.187
2002	36	0.092
2003	36	0.092
2001	19	0.049
2000	10	0.026
1999	8	0.020
1996	5	0.013
1992	4	0.010
1995	3	0.008
1998	3	0.008
1991	2	0.005
1985	1	0.003
1990	1	0.003
1993	1	0.003
1997	1	0.003
